ORIGINAL;CORRECCION
DEFECTO DE MASA (PUNTOS BLANCOS);Contaminacion
MANCHA EN RED;Red sombreada
MAL CURADO RUCO;Pintura RUCO errada
BURBUJAS EN EMPOTRADO;Burbujas en empotrado
PINTURA CON DIENTE DE  SIERRA;Diente sierra en serigrafia
MALLA F.T;Malla TNT inadecuada
MATERIAL ERRONEO;Formula errada
OXIDACION EN RED;Oxidacion en red
QUIÑE EN EL BORDE;Quiñes
ROTURA EN LÍNEA;Rotura de cristal
DEFECTOS DE DELAMINACIÓN;Delaminacion
DESPLAZAMIENTO DE PIEZA;Dezplazamiento de paquete
MANCHAS PU HPF9;Manchas en PU
MANCHAS PU Y3;Manchas en PU
DEFECTO DE MASA;Contaminacion
PC FALTANTE EN RACK;
GOLPE EN PC;Marcaciones en PC
MANCHAS PBV INCOLORO;Mancha en PVB
MIGRACIÓN DE PU;Migracion PU
MANCHA EN PVB GRIS;Mancha en PVB gris
MANCHAS PU Y1;Manchas en PU
BAJO VITRIFICADO;Vitrificado inadecuado
BUSBAR VISIBLE;Busbar visible
FALLA EN TEMPLADO QUIMICO;Templado quimico inadecuado
PET REBABA;Marcaciones en AL
TRAZABILIDAD ERRADA;Trazabilidad errada
MANCHA EN W4;Manchas en PU
FALTA TEMPLADO QUÍMICO;Templado quimico inadecuado
PC AL REVÉS;PC invertido
DEFECTO EN PIEZA POR DESARROLLO ERRADO;Desarrollo errado
MANCHA EN P9;Manchas en PU
XIR;XIR inadecuado
FALTA DE CURVATURA;Curvatura FT
MANCHA EN NB3;Manchas en PU
MANCHA EN P1;Manchas en PU
RAYA EN TECOFLEX;Rayas en tecoflex
MARCACIONES EN VIDRIO PINTURA;Marcaciones en cristal
MALA FABRICACIÓN DE PUTE;PU Tejido inadecuado
DISTORSIÓN EN PAQUETE Y TAPA;Distorsion
BLEEDER DENTRO DEL PAQUETE;Bleeder en paquete
MANCHA DE OCRE;Manchas en cristal
NUBOSIDAD EN LA PIEZA;Manchas en PU
MANCHA EN PVB 0.76;Mancha en PVB
FALTA DE TRAZABILIDAD;Trazabilidad errada
PLANITUD FT;Planitud FT
CURVATURA DE ACERO EN MAL ESTADO;Acero no conforme
RASPONES;Raspones
MANCHA EN PU W3;Manchas en PU
ARRUGA EN XIR;XIR inadecuado
APARIENCIA DE ACERO NO CONFORME;Acero no conforme
BANDA NEGRA CASO CONTRARIO;Banda negra caso contrario
LOGO ILEGIBLE/INCOMPLETO;Logo errado
TERMINALES EXPUESTOS;Terminales expuestos
